Group;Participant;CollabEnvironememn;trialNb;training;MoveMode;CardToTag;
g01;p01;C;0;1;drag;12;
g01;p02;C;0;1;sync;12;
g01;p01;C;1;1;sync;28;
g01;p02;C;1;1;drag;28;
g01;p01;C;2;1;drag;40;
g01;p02;C;2;1;sync;40;
g01;p01;C;3;1;sync;2;
g01;p02;C;3;1;drag;2;
#pause;
g01;p01;C;4;1;TP;20;
g01;p02;C;4;1;sync;20;
g01;p01;C;5;1;sync;15;
g01;p02;C;5;1;TP;15;
g01;p01;C;6;1;TP;0;
g01;p02;C;6;1;sync;0;
g01;p01;C;7;1;sync;50;
g01;p02;C;7;1;TP;50;
#pause;
g01;p01;C;8;1;joy;36;
g01;p02;C;8;1;sync;36;
g01;p01;C;9;1;sync;9;
g01;p02;C;9;1;joy;9;
g01;p01;C;10;1;joy;22;
g01;p02;C;10;1;sync;22;
g01;p01;C;11;1;sync;47;
g01;p02;C;11;1;joy;47;
#pause;
g02;p01;C;0;1;TP;12;
g02;p02;C;0;1;sync;12;
g02;p01;C;1;1;sync;28;
g02;p02;C;1;1;TP;28;
g02;p01;C;2;1;TP;40;
g02;p02;C;2;1;sync;40;
g02;p01;C;3;1;sync;2;
g02;p02;C;3;1;TP;2;
#pause;
g02;p01;C;4;1;drag;20;
g02;p02;C;4;1;sync;20;
g02;p01;C;5;1;sync;15;
g02;p02;C;5;1;drag;15;
g02;p01;C;6;1;drag;0;
g02;p02;C;6;1;sync;0;
g02;p01;C;7;1;sync;50;
g02;p02;C;7;1;drag;50;
#pause;
g02;p01;C;8;1;joy;36;
g02;p02;C;8;1;sync;36;
g02;p01;C;9;1;sync;9;
g02;p02;C;9;1;joy;9;
g02;p01;C;10;1;joy;22;
g02;p02;C;10;1;sync;22;
g02;p01;C;11;1;sync;47;
g02;p02;C;11;1;joy;47;
#pause;
g03;p01;C;0;1;joy;12;
g03;p02;C;0;1;sync;12;
g03;p01;C;1;1;sync;28;
g03;p02;C;1;1;joy;28;
g03;p01;C;2;1;joy;40;
g03;p02;C;2;1;sync;40;
g03;p01;C;3;1;sync;2;
g03;p02;C;3;1;joy;2;
#pause;
g03;p01;C;4;1;TP;20;
g03;p02;C;4;1;sync;20;
g03;p01;C;5;1;sync;15;
g03;p02;C;5;1;TP;15;
g03;p01;C;6;1;TP;0;
g03;p02;C;6;1;sync;0;
g03;p01;C;7;1;sync;50;
g03;p02;C;7;1;TP;50;
#pause;
g03;p01;C;8;1;drag;36;
g03;p02;C;8;1;sync;36;
g03;p01;C;9;1;sync;9;
g03;p02;C;9;1;drag;9;
g03;p01;C;10;1;drag;22;
g03;p02;C;10;1;sync;22;
g03;p01;C;11;1;sync;47;
g03;p02;C;11;1;drag;47;
#pause;
g04;p01;C;0;1;drag;12;
g04;p02;C;0;1;sync;12;
g04;p01;C;1;1;sync;28;
g04;p02;C;1;1;drag;28;
g04;p01;C;2;1;drag;40;
g04;p02;C;2;1;sync;40;
g04;p01;C;3;1;sync;2;
g04;p02;C;3;1;drag;2;
#pause;
g04;p01;C;4;1;joy;20;
g04;p02;C;4;1;sync;20;
g04;p01;C;5;1;sync;15;
g04;p02;C;5;1;joy;15;
g04;p01;C;6;1;joy;0;
g04;p02;C;6;1;sync;0;
g04;p01;C;7;1;sync;50;
g04;p02;C;7;1;joy;50;
#pause;
g04;p01;C;8;1;TP;36;
g04;p02;C;8;1;sync;36;
g04;p01;C;9;1;sync;9;
g04;p02;C;9;1;TP;9;
g04;p01;C;10;1;TP;22;
g04;p02;C;10;1;sync;22;
g04;p01;C;11;1;sync;47;
g04;p02;C;11;1;TP;47;
#pause;
g05;p01;C;0;1;TP;12;
g05;p02;C;0;1;sync;12;
g05;p01;C;1;1;sync;28;
g05;p02;C;1;1;TP;28;
g05;p01;C;2;1;TP;40;
g05;p02;C;2;1;sync;40;
g05;p01;C;3;1;sync;2;
g05;p02;C;3;1;TP;2;
#pause;
g05;p01;C;4;1;joy;20;
g05;p02;C;4;1;sync;20;
g05;p01;C;5;1;sync;15;
g05;p02;C;5;1;joy;15;
g05;p01;C;6;1;joy;0;
g05;p02;C;6;1;sync;0;
g05;p01;C;7;1;sync;50;
g05;p02;C;7;1;joy;50;
#pause;
g05;p01;C;8;1;drag;36;
g05;p02;C;8;1;sync;36;
g05;p01;C;9;1;sync;9;
g05;p02;C;9;1;drag;9;
g05;p01;C;10;1;drag;22;
g05;p02;C;10;1;sync;22;
g05;p01;C;11;1;sync;47;
g05;p02;C;11;1;drag;47;
#pause;
g06;p01;C;0;1;joy;12;
g06;p02;C;0;1;sync;12;
g06;p01;C;1;1;sync;28;
g06;p02;C;1;1;joy;28;
g06;p01;C;2;1;joy;40;
g06;p02;C;2;1;sync;40;
g06;p01;C;3;1;sync;2;
g06;p02;C;3;1;joy;2;
#pause;
g06;p01;C;4;1;drag;20;
g06;p02;C;4;1;sync;20;
g06;p01;C;5;1;sync;15;
g06;p02;C;5;1;drag;15;
g06;p01;C;6;1;drag;0;
g06;p02;C;6;1;sync;0;
g06;p01;C;7;1;sync;50;
g06;p02;C;7;1;drag;50;
#pause;
g06;p01;C;8;1;TP;36;
g06;p02;C;8;1;sync;36;
g06;p01;C;9;1;sync;9;
g06;p02;C;9;1;TP;9;
g06;p01;C;10;1;TP;22;
g06;p02;C;10;1;sync;22;
g06;p01;C;11;1;sync;47;
g06;p02;C;11;1;TP;47;
#pause;
